source_file,review_id,clause_id,global_id,clause,topics_pred,topics_score,sent_local,sent_review,sentiment_score,sentiment_final,sentiment_text
gazprombank_debit_page2.json,1,0,1:0,Здравствуйте ! Обратился в отделение банка в г.Нягань.,BRANCH_SERVICE,1.00,0.15,1.7571428571428573,0.6321428571428571,0,neu
gazprombank_debit_page2.json,1,1,1:1,"Надо отметить, что прежде с Газпромбанком не сотрудничал.",,,0.0,1.7571428571428573,0.5271428571428571,0,neu
gazprombank_debit_page2.json,1,2,1:2,Хочется отметить внимательное отношение сотрудников во главе с управляющей.,BRANCH_SERVICE,1.00,2.0,1.7571428571428573,1.927142857142857,2,pos
gazprombank_debit_page2.json,1,3,1:3,Мой вопрос решили оперативно.,,,4.0,1.7571428571428573,3.327142857142857,2,pos
gazprombank_debit_page2.json,1,4,1:4,"К тому же, предложили оформить дебетовую карту с условиями, которые мне понравились.",DEBIT_CARDS,1.00,2.0,1.7571428571428573,1.927142857142857,2,pos
gazprombank_debit_page2.json,1,5,1:5,Карту оформили оперативно.,,,2.0,1.7571428571428573,1.927142857142857,2,pos
gazprombank_debit_page2.json,1,6,1:6,Общение было продуктивным и приятным. Всем спасибо!,,,2.15,1.7571428571428573,2.032142857142857,2,pos
gazprombank_debit_page2.json,2,0,2:0,20.09. 2025 г. В банкомате офиса Газпромбанка в г. Пятигорске пытался снять свои наличные деньги по карте.,DEBIT_CARDS;BRANCH_SERVICE,1.00;1.00,0.0,-1.7714285714285716,-0.5314285714285715,0,neu
gazprombank_debit_page2.json,2,1,2:1,В офисе г. Пятигорска установлен банкомат даже сложно сказать год его изготовления.,DEBIT_CARDS;BRANCH_SERVICE,1.00;1.00,0.0,-1.7714285714285716,-0.5314285714285715,0,neu
gazprombank_debit_page2.json,2,2,2:2,"Думаю такие банкоматы делали много, много лет назад. Ужасно устаревший. .",DEBIT_CARDS,1.00,-2.4,-1.7714285714285716,-2.2114285714285713,-2,neg
gazprombank_debit_page2.json,2,3,2:3,"Получилось снять только часть денег по карте, после чего снятие денег заблокировали на 48 часов.",,,-4.0,-1.7714285714285716,-3.3314285714285714,-2,neg
