source_file,review_id,clause_id,review_date,clause
merged.json,1,0,18.08.2014,они сразу не могли пакет документов проверить?
merged.json,1,1,18.08.2014,"неделю общались по электронке три раза заставили переделать каско, ездила в страховую компанию, далее пригласили на сделку (сказали все документы все проверили, все готово приезжайте на подпись)."
merged.json,1,2,18.08.2014,"Вместо обещанных 15 мин просидела 2, 5 ч, у меня была назначена встреча, все отложила, далее сказали скорее всего перечислят деньги завтра."
merged.json,1,3,18.08.2014,"Наступила завтра вечер– звонят, анкета не та, не там подпись стоит (Предварительно сказали распечатать с сайта их приедете, мы проверим) заполнила– проверили– заверили все ок, не понравилось черточка для подписи не так распечаталась"
merged.json,1,4,18.08.2014,уних она распечатывается с сайта таким же образом ни кого это не волнует. !
merged.json,1,5,18.08.2014,Далее через день опять не так расписались мое начальство в справках– переделывайте.
merged.json,1,6,18.08.2014,"ПРи том что срок уже пошел от подписи до предоставления ПТС почти неделя, привезла, проходит еще два дня — звонят!"
merged.json,1,7,18.08.2014,"Приезжайте переподписывать заявление, мы там "" Нолик» не туда поставили и все"
merged.json,1,8,18.08.2014,то что я завтра уже уезжаю в командировку и там у меня останется два дня что бы поставить машину на учет
merged.json,1,9,18.08.2014,"заверить у нотариуса заявление и привезти через всю Москву черти куда ни кого не волнует! Ужасное отношения, пофигизм!"
merged.json,2,0,26.09.2023,"22 сентября под действием мошенников, я обратился в офис банка, находящийся в поселке Энергетик, Оренбургской области за оформлением кредита, который по словам мошенников (которые представились сотрудниками Банка России) мне срочно нужно получить."
merged.json,2,1,26.09.2023,"я постоянно оставался на связи с мошенниками и действовал по их инструкции, что не смутило сотрудника банка"
merged.json,2,2,26.09.2023,что наводит на мысли о преступном сговоре.
merged.json,2,3,26.09.2023,"Сотрудница оформила автокредит (Номер договора - 29******15/23) на 7 лет в сумме 1 миллион 84 тысячи, из которых страховку на 281 тысячу рублей и подписку на мультисервис интерактив плюс."
merged.json,2,4,26.09.2023,Подписка и страховка были тут же списаны со счета.
merged.json,2,5,26.09.2023,"Моя жена, поняв, что я попался на удочку мошенников, успела обратиться в полицию"
merged.json,2,6,26.09.2023,я не успел перевести эти деньги мошенникам.
merged.json,2,7,26.09.2023,"т.к. это был вечер пятницы, в офис мы смогли попасть только в понедельник 25 сентября, где объяснив всю ситуацию, попросили аннулировать кредит, т.к. ни рубля не было потрачено."
merged.json,2,8,26.09.2023,Где были посланы сотрудницей самим разбираться со своими проблемами.
merged.json,2,9,26.09.2023,Вернуть подписки или оказать какую-то помощь по возврату тоже.
merged.json,2,10,26.09.2023,"Считаю, что сотрудник, даже если и небыл в сговоре с мошенниками"
